age,labor_force_status,weekly_earnings_raw,education_level,sex,marital_status,race,industry_code,survey_weight_raw,metro_status,is_employed
49.0,1.0,,46.0,2.0,1.0,1.0,7860.0,16966401.0,1.0,1.0
49.0,1.0,,39.0,1.0,1.0,1.0,6680.0,21754865.0,1.0,1.0
54.0,1.0,,42.0,2.0,1.0,1.0,7690.0,26305714.0,1.0,1.0
51.0,1.0,,39.0,1.0,1.0,1.0,6170.0,28829727.0,1.0,1.0
44.0,1.0,,39.0,2.0,1.0,1.0,4270.0,38183816.0,1.0,1.0
51.0,1.0,,40.0,1.0,1.0,1.0,7690.0,30459907.0,1.0,1.0
41.0,1.0,,41.0,1.0,1.0,1.0,7390.0,52163372.0,1.0,1.0
41.0,7.0,,39.0,2.0,1.0,1.0,,30843024.0,1.0,
48.0,7.0,,39.0,2.0,1.0,1.0,,33171787.0,1.0,
37.0,7.0,,39.0,2.0,1.0,1.0,,36450224.0,1.0,
45.0,1.0,,36.0,1.0,1.0,1.0,7190.0,33993667.0,1.0,1.0
47.0,1.0,,41.0,2.0,6.0,2.0,7970.0,34509539.0,1.0,1.0
52.0,1.0,,39.0,1.0,6.0,2.0,4090.0,35211098.0,2.0,1.0
44.0,1.0,,40.0,1.0,1.0,1.0,770.0,27291205.0,1.0,1.0
42.0,1.0,,40.0,2.0,1.0,1.0,9570.0,40764334.0,1.0,1.0
49.0,1.0,,38.0,1.0,1.0,1.0,3895.0,35536259.0,2.0,1.0
44.0,6.0,,38.0,2.0,1.0,1.0,,40326841.0,2.0,
45.0,1.0,105800.0,39.0,2.0,6.0,1.0,4380.0,40174074.0,2.0,1.0
50.0,1.0,,39.0,2.0,1.0,1.0,3390.0,34225322.0,2.0,1.0
52.0,1.0,,37.0,1.0,1.0,1.0,770.0,37509215.0,2.0,1.0
29.0,5.0,,39.0,1.0,4.0,1.0,,31378713.0,2.0,
52.0,1.0,,43.0,1.0,1.0,1.0,8680.0,30273787.0,1.0,1.0
46.0,1.0,,40.0,2.0,1.0,1.0,8770.0,24006470.0,1.0,1.0
42.0,1.0,,46.0,2.0,6.0,1.0,7860.0,24443633.0,1.0,1.0
26.0,1.0,250000.0,43.0,1.0,1.0,1.0,9160.0,51771201.0,1.0,1.0
31.0,1.0,32000.0,43.0,2.0,1.0,1.0,8470.0,31151110.0,1.0,1.0
36.0,1.0,133000.0,44.0,1.0,1.0,1.0,7380.0,46613755.0,1.0,1.0
27.0,1.0,288000.0,42.0,1.0,6.0,1.0,4891.0,51771201.0,1.0,1.0
43.0,1.0,,40.0,1.0,6.0,2.0,8680.0,57894895.0,1.0,1.0
44.0,1.0,160000.0,43.0,1.0,1.0,1.0,7190.0,49371648.0,1.0,1.0
44.0,1.0,150000.0,42.0,2.0,1.0,1.0,7860.0,28895335.0,1.0,1.0
26.0,1.0,,39.0,2.0,6.0,2.0,6380.0,42748858.0,1.0,1.0
49.0,6.0,,39.0,2.0,1.0,2.0,,32574927.0,1.0,
51.0,1.0,,39.0,1.0,1.0,2.0,6890.0,36329473.0,1.0,1.0
27.0,1.0,115400.0,43.0,1.0,6.0,2.0,8191.0,50731075.0,1.0,1.0
52.0,1.0,,40.0,2.0,1.0,1.0,6871.0,29247175.0,1.0,1.0
54.0,1.0,,40.0,1.0,1.0,1.0,1890.0,37365695.0,1.0,1.0
31.0,1.0,,39.0,2.0,1.0,1.0,5491.0,38956999.0,1.0,1.0
37.0,1.0,,39.0,1.0,1.0,1.0,3490.0,36260624.0,1.0,1.0
43.0,1.0,,40.0,1.0,6.0,1.0,5392.0,40526352.0,1.0,1.0
46.0,1.0,,40.0,1.0,1.0,2.0,3570.0,27957612.0,1.0,1.0
43.0,1.0,,39.0,2.0,1.0,2.0,8680.0,32323815.0,1.0,1.0
52.0,1.0,,44.0,2.0,4.0,1.0,8191.0,27567517.0,2.0,1.0
25.0,1.0,,41.0,1.0,6.0,4.0,170.0,38939782.0,2.0,1.0
53.0,7.0,,39.0,2.0,1.0,1.0,,26395900.0,1.0,
29.0,1.0,,41.0,1.0,6.0,1.0,770.0,23642737.0,1.0,1.0
34.0,5.0,,39.0,1.0,3.0,1.0,,36300305.0,2.0,
40.0,1.0,236000.0,39.0,1.0,5.0,6.0,6370.0,66365289.0,1.0,1.0
30.0,1.0,,43.0,2.0,6.0,2.0,8191.0,83736049.0,1.0,1.0
35.0,1.0,,39.0,2.0,1.0,2.0,8561.0,38511130.0,1.0,1.0
33.0,1.0,,39.0,1.0,1.0,2.0,3570.0,65468520.0,1.0,1.0
53.0,1.0,,40.0,1.0,1.0,1.0,3570.0,30266705.0,1.0,1.0
54.0,5.0,,40.0,2.0,1.0,3.0,,34641519.0,1.0,
26.0,7.0,,39.0,1.0,6.0,3.0,,45782637.0,1.0,
36.0,7.0,,39.0,1.0,6.0,2.0,,40316984.0,1.0,
36.0,1.0,1091850.0,39.0,2.0,6.0,2.0,6370.0,38448043.0,1.0,1.0
47.0,1.0,,40.0,2.0,1.0,1.0,3980.0,23313967.0,1.0,1.0
45.0,1.0,,42.0,1.0,1.0,1.0,9490.0,28484373.0,1.0,1.0
27.0,1.0,,40.0,1.0,1.0,1.0,4771.0,29480494.0,1.0,1.0
27.0,7.0,,39.0,2.0,1.0,1.0,,40207646.0,1.0,
43.0,1.0,,41.0,2.0,1.0,1.0,6991.0,37220752.0,1.0,1.0
49.0,1.0,,39.0,1.0,1.0,1.0,4670.0,32174364.0,1.0,1.0
44.0,1.0,,44.0,2.0,6.0,2.0,6992.0,31149920.0,1.0,1.0
27.0,1.0,,43.0,2.0,6.0,1.0,7860.0,31753936.0,1.0,1.0
28.0,1.0,90400.0,43.0,2.0,6.0,1.0,5171.0,34161999.0,1.0,1.0
53.0,1.0,1091850.0,43.0,2.0,1.0,1.0,4796.0,46045247.0,1.0,1.0
32.0,7.0,,39.0,2.0,1.0,1.0,,49443438.0,1.0,
47.0,1.0,,32.0,1.0,1.0,1.0,770.0,42321487.0,1.0,1.0
52.0,1.0,,44.0,1.0,4.0,1.0,6970.0,36820006.0,1.0,1.0
28.0,1.0,454000.0,45.0,1.0,1.0,1.0,7270.0,41509339.0,1.0,1.0
25.0,7.0,,43.0,2.0,1.0,1.0,,45027415.0,1.0,
42.0,1.0,1091850.0,45.0,1.0,1.0,1.0,8191.0,47590449.0,1.0,1.0
41.0,7.0,,44.0,2.0,1.0,1.0,,31333439.0,1.0,
40.0,1.0,,44.0,1.0,6.0,1.0,7390.0,38162092.0,1.0,1.0
36.0,1.0,45000.0,39.0,2.0,6.0,1.0,7860.0,35072381.0,1.0,1.0
54.0,6.0,,34.0,2.0,5.0,2.0,,58879751.0,1.0,
27.0,1.0,173000.0,43.0,1.0,1.0,1.0,7290.0,40071133.0,1.0,1.0
26.0,1.0,230000.0,43.0,2.0,1.0,1.0,6992.0,34161999.0,1.0,1.0
40.0,1.0,13000.0,44.0,2.0,1.0,1.0,7860.0,31611246.0,1.0,1.0
39.0,1.0,,44.0,1.0,1.0,1.0,7280.0,36079247.0,1.0,1.0
46.0,1.0,70000.0,39.0,1.0,1.0,2.0,4771.0,68488656.0,1.0,1.0
39.0,1.0,120000.0,39.0,2.0,1.0,2.0,8270.0,61761875.0,1.0,1.0
32.0,1.0,,39.0,2.0,1.0,1.0,5392.0,35140006.0,1.0,1.0
33.0,1.0,,39.0,1.0,1.0,1.0,9570.0,26670821.0,1.0,1.0
39.0,5.0,,39.0,1.0,1.0,1.0,,33778999.0,1.0,
29.0,5.0,,43.0,2.0,1.0,1.0,,49287465.0,1.0,
41.0,1.0,,44.0,2.0,6.0,1.0,7390.0,41425371.0,1.0,1.0
25.0,,,40.0,1.0,6.0,1.0,,0.0,1.0,
51.0,1.0,,44.0,2.0,4.0,1.0,7860.0,28388855.0,1.0,1.0
51.0,1.0,,40.0,1.0,4.0,1.0,3390.0,33270370.0,1.0,1.0
45.0,1.0,90600.0,43.0,2.0,1.0,1.0,8191.0,43255279.0,1.0,1.0
51.0,1.0,88000.0,41.0,1.0,1.0,1.0,8370.0,46728600.0,1.0,1.0
52.0,1.0,,39.0,1.0,6.0,1.0,7770.0,46728600.0,1.0,1.0
53.0,1.0,,39.0,2.0,1.0,1.0,7970.0,37224481.0,1.0,1.0
26.0,1.0,,39.0,2.0,6.0,1.0,8180.0,34370925.0,1.0,1.0
39.0,1.0,,43.0,2.0,1.0,1.0,7870.0,37242988.0,1.0,1.0
42.0,4.0,,46.0,1.0,1.0,1.0,4971.0,24528661.0,1.0,0.0
47.0,1.0,,39.0,1.0,4.0,1.0,9180.0,58112726.0,1.0,1.0
25.0,1.0,,40.0,1.0,6.0,1.0,8770.0,29675109.0,1.0,1.0
49.0,1.0,,43.0,1.0,1.0,1.0,770.0,47488305.0,1.0,1.0
42.0,1.0,59600.0,39.0,2.0,1.0,1.0,7870.0,31611246.0,1.0,1.0
40.0,1.0,,43.0,1.0,1.0,1.0,770.0,37086075.0,1.0,1.0
36.0,1.0,,42.0,2.0,1.0,1.0,8191.0,47665205.0,1.0,1.0
29.0,1.0,,43.0,1.0,6.0,1.0,6471.0,29498679.0,1.0,1.0
44.0,6.0,,39.0,2.0,1.0,1.0,,31333439.0,1.0,
54.0,1.0,100000.0,39.0,1.0,1.0,1.0,3580.0,46728600.0,1.0,1.0
26.0,1.0,,44.0,1.0,6.0,4.0,8090.0,27840294.0,1.0,1.0
31.0,1.0,,43.0,1.0,1.0,1.0,8191.0,24869616.0,1.0,1.0
29.0,1.0,,46.0,2.0,1.0,1.0,7270.0,38155385.0,1.0,1.0
46.0,1.0,,39.0,2.0,6.0,4.0,7860.0,30521543.0,1.0,1.0
38.0,7.0,,39.0,2.0,1.0,1.0,,34374825.0,1.0,
39.0,1.0,,43.0,1.0,1.0,1.0,6170.0,25956237.0,1.0,1.0
43.0,1.0,,39.0,1.0,4.0,1.0,3970.0,24763040.0,2.0,1.0
38.0,1.0,,39.0,1.0,6.0,1.0,9370.0,24255305.0,1.0,1.0
29.0,1.0,,39.0,2.0,6.0,1.0,8170.0,40004053.0,1.0,1.0
32.0,1.0,,40.0,2.0,4.0,16.0,8680.0,51785112.0,1.0,1.0
49.0,1.0,,40.0,2.0,1.0,1.0,4670.0,35960168.0,1.0,1.0
52.0,1.0,,41.0,1.0,1.0,1.0,770.0,34333380.0,1.0,1.0
27.0,1.0,52600.0,39.0,2.0,1.0,1.0,7690.0,39835655.0,1.0,1.0
33.0,1.0,100000.0,39.0,1.0,1.0,1.0,770.0,39761038.0,1.0,1.0
43.0,1.0,,39.0,1.0,6.0,1.0,3291.0,35584828.0,1.0,1.0
52.0,1.0,,40.0,2.0,4.0,1.0,8470.0,35956347.0,1.0,1.0
50.0,7.0,,39.0,2.0,1.0,1.0,,37399193.0,1.0,
43.0,7.0,,44.0,2.0,6.0,1.0,,31863445.0,1.0,
38.0,1.0,,42.0,2.0,4.0,1.0,9570.0,10062671.0,1.0,1.0
31.0,1.0,103800.0,43.0,2.0,6.0,1.0,7860.0,13301551.0,1.0,1.0
49.0,6.0,,35.0,2.0,4.0,1.0,,8698696.0,2.0,
32.0,7.0,,37.0,2.0,6.0,1.0,,11920592.0,2.0,
28.0,1.0,,46.0,1.0,1.0,1.0,7270.0,11972236.0,1.0,1.0
28.0,1.0,,44.0,2.0,1.0,1.0,8191.0,8362141.0,1.0,1.0
27.0,1.0,,39.0,1.0,6.0,1.0,8790.0,10994184.0,1.0,1.0
32.0,1.0,,39.0,1.0,6.0,1.0,6180.0,12552619.0,1.0,1.0
37.0,1.0,,43.0,1.0,1.0,1.0,6695.0,8917945.0,1.0,1.0
36.0,7.0,,43.0,2.0,1.0,1.0,,10051956.0,1.0,
41.0,1.0,154000.0,41.0,1.0,6.0,6.0,7860.0,12798707.0,1.0,1.0
51.0,2.0,,39.0,1.0,1.0,1.0,770.0,9422498.0,1.0,1.0
43.0,1.0,,39.0,2.0,1.0,1.0,4981.0,13775354.0,1.0,1.0
37.0,1.0,,43.0,1.0,4.0,1.0,7390.0,12533367.0,1.0,1.0
